mes;ano;salario_minimo
03;2020;R$ 1045,00
04;2020;R$ 1045,00
05;2020;R$ 1045,00
06;2020;R$ 1045,00
07;2020;R$ 1045,00
08;2020;R$ 1045,00
09;2020;R$ 1045,00
10;2020;R$ 1045,00
11;2020;R$ 1045,00
12;2020;R$ 1045,00
01;2021;R$ 1100,00
02;2021;R$ 1100,00
03;2021;R$ 1100,00
04;2021;R$ 1100,00
05;2021;R$ 1100,00
06;2021;R$ 1100,00
07;2021;R$ 1100,00
08;2021;R$ 1100,00
09;2021;R$ 1100,00
10;2021;R$ 1100,00
11;2021;R$ 1100,00
12;2021;R$ 1100,00
01;2022;R$ 1212,00
02;2022;R$ 1212,00
03;2022;R$ 1212,00
04;2022;R$ 1212,00
05;2022;R$ 1212,00
06;2022;R$ 1212,00
07;2022;R$ 1212,00
08;2022;R$ 1212,00
09;2022;R$ 1212,00
10;2022;R$ 1212,00
11;2022;R$ 1212,00
12;2022;R$ 1212,00
01;2023;R$ 1302,00
02;2023;R$ 1302,00
03;2023;R$ 1302,00
04;2023;R$ 1302,00
05;2023;R$ 1320,00
06;2023;R$ 1320,00
07;2023;R$ 1320,00
08;2023;R$ 1320,00
09;2023;R$ 1320,00
10;2023;R$ 1320,00
11;2023;R$ 1320,00
12;2023;R$ 1320,00
01;2024;R$ 1412,00
02;2024;R$ 1412,00
03;2024;R$ 1412,00
04;2024;R$ 1412,00
05;2024;R$ 1412,00
06;2024;R$ 1412,00
07;2024;R$ 1412,00
08;2024;R$ 1412,00
09;2024;R$ 1412,00
10;2024;R$ 1412,00
11;2024;R$ 1412,00
12;2024;R$ 1412,00
01;2025;R$ 1518,00
02;2025;R$ 1518,00
03;2025;R$ 1518,00
04;2025;R$ 1518,00
05;2025;R$ 1518,00
06;2025;R$ 1518,00
07;2025;R$ 1518,00
08;2025;R$ 1518,00
09;2025;R$ 1518,00
10;2025;R$ 1518,00
11;2025;R$ 1518,00
12;2025;R$ 1518,00
01;2026;R$ 1621,00
02;2026;R$ 1621,00
03;2026;R$ 1621,00
04;2026;R$ 1621,00
05;2026;R$ 1621,00
06;2026;R$ 1621,00
07;2026;R$ 1621,00
08;2026;R$ 1621,00
09;2026;R$ 1621,00
10;2026;R$ 1621,00
11;2026;R$ 1621,00
12;2026;R$ 1621,00
